diag_bin,n_diagnoses,n,auc,ci_lo,ci_hi
1,1,53,0.9933333333333333,0.9607843137254902,1.0
2,2,191,0.7210714285714285,0.5453740950080149,0.870804563429791
3,3,561,0.6415572232645403,0.5433222884666179,0.7301647165983856
4,4,1098,0.6676763064999276,0.6088736850756082,0.7234293364243716
5,5,2353,0.6407061751438793,0.5982868816679063,0.6844900817047188
6,6,1969,0.6725834854160663,0.6314065269902104,0.7143651614895797
7,7,2086,0.6477417541229386,0.6097194563541954,0.6847671952367497
8,8,2165,0.6825873928592172,0.6514976576183074,0.7187477224681137
9,9,9845,0.6347561011858319,0.6191444595321817,0.6515164436164891
10+,12,33,0.34444444444444444,0.03125,0.7205729166666667
